ticker,quarter,revenue,gross_margin,fcf_margin,market_cap,ev,revenue_growth_qoq
DDOG,2025-03-31,761553000.0,0.7930176888542229,0.3209113482580989,91673993216,92471435216.0,
DDOG,2025-06-30,826760000.0,0.7992428274227104,0.2000012095408583,91673993216,92449390216.0,0.08562371890072007
DDOG,2025-09-30,885651000.0,0.8007601188278453,0.2415759706701624,91673993216,92412708216.0,0.07123107068556767
DDOG,2025-12-31,953194000.0,0.8039286860806929,0.30531140565299403,91673993216,92551693216.0,0.07626367496903397
DDOG,2026-03-31,1006426000.0,0.7921079145411585,0.2872451625852273,91673993216,92532685216.0,0.055845924334395836
DOCS,2025-03-31,138288000.0,0.8953849936364688,0.7012900613213005,3981124608,3783906608.0,
DOCS,2025-06-30,145913000.0,0.8917642704899494,0.41212914544968576,3981124608,3855704608.0,0.055138551428902005
DOCS,2025-09-30,168525000.0,0.9025367156208278,0.5433911882510013,3981124608,3823144608.0,0.15496905690377138
DOCS,2025-12-31,185053000.0,0.8989424651316109,0.3162121122056924,3981124608,3926978608.0,0.09807446966325473
DOCS,2026-03-31,145372000.0,0.8665011143824121,0.7378931293509067,3981124608,3772131608.0,-0.21443046046267822
DOCU,2025-04-30,763654000.0,0.7940572562966998,0.2983222768426539,9390655488,8866193488.0,
DOCU,2025-07-31,800636000.0,0.7933355482391499,0.27184388411213084,9390655488,8917611488.0,0.04842769107475364
DOCU,2025-10-31,818350000.0,0.7915977271338669,0.32125618622838636,9390655488,8957737488.0,0.022124910695996647
DOCU,2026-01-31,836860000.0,0.7971177974810602,0.4184678440838372,9390655488,8973332488.0,0.022618683937190687
DOCU,2026-04-30,830235000.0,0.7937090100995501,0.3486181623275338,9390655488,9025961488.0,-0.007916497383074872
DUOL,2025-03-31,230743000.0,0.7111635022514226,0.44643607823422593,5812957184,4983494184.0,
DUOL,2025-06-30,252265000.0,0.7237666739341565,0.34219570689552653,5812957184,4930569184.0,0.09327260198575904
DUOL,2025-09-30,271713000.0,0.7247021673604134,0.28469745650741773,5812957184,4894672184.0,0.07709353259469198
DUOL,2025-12-31,282868000.0,0.7277917615283453,0.3313630385904379,5812957184,4870347184.0,0.04105434778608319
DUOL,2026-03-31,291967000.0,0.7298633064695668,0.506173642911699,5812957184,4766269184.0,0.032166947127282075
ESTC,2025-04-30,388432000.0,0.748257095192981,0.2184732462824896,6262046720,6129517720.0,
ESTC,2025-07-31,415288000.0,0.7670387779083431,0.25085964439136216,6262046720,6193879720.0,0.06913951476706348
ESTC,2025-10-31,423481000.0,0.7590753776438612,0.06141243644933303,6262046720,6052167720.0,0.01972847758663865
ESTC,2026-01-31,449881000.0,0.763406323005417,0.09291568214705667,6262046720,6116484720.0,0.06234045919415521
ESTC,2026-04-30,450681000.0,0.7535729263048586,0.3324191612249019,6262046720,6084884720.0,0.0017782480255890132
ETSY,2025-03-31,612204000.0,0.72590672390249,0.060412868912976724,7691339776,9429419776.0,
ETSY,2025-06-30,672663000.0,0.7122660232538434,0.13195166078705087,7691339776,9583550776.0,0.09875629692063437
ETSY,2025-09-30,678026000.0,0.7129239881656456,0.3025223221528378,7691339776,9518058776.0,0.007972788751573923
ETSY,2025-12-31,881636000.0,0.7305622728654456,0.3492234890589767,7691339776,9371223776.0,0.30029821865238215
ETSY,2026-03-31,631277000.0,0.7217085368229794,0.11228034602876392,7691339776,9552738776.0,-0.2839709358510769
FOUR,2025-03-31,848000000.0,0.30306603773584906,0.05306603773584906,5036792832,6751492832.0,
FOUR,2025-06-30,966200000.0,0.3027323535499897,0.0960463672117574,5036792832,5776092832.0,0.13938679245283025
FOUR,2025-09-30,1176900000.0,0.36451695131277084,0.07383804911207409,5036792832,8313692832.0,0.21807079279652242
FOUR,2025-12-31,1188600000.0,0.3781760053844859,0.12476863536934209,5036792832,8688792832.0,0.00994137139943918
FOUR,2026-03-31,1121000000.0,0.3496877787689563,0.056199821587867974,5036792832,9145792832.0,-0.056873632845364286
FROG,2025-03-31,122407000.0,0.75343730342219,0.22992966088540687,10990403584,10958222584.0,
FROG,2025-06-30,127220000.0,0.7626002200911807,0.2787140386731646,10990403584,10952965584.0,0.03931964675222832
FROG,2025-09-30,136907000.0,0.7742993418890195,0.21044212494613132,10990403584,10923196584.0,0.07614368809935534
FROG,2025-12-31,145306000.0,0.7786051505099583,0.343103519469258,10990403584,10927019584.0,0.061348214481363295
FROG,2026-03-31,153977000.0,0.7817855913545529,0.24215304883196842,10990403584,10945884584.0,0.05967406714106782
FSLY,2025-03-31,144474000.0,0.5315696942010327,0.0686628735966333,3065835008,,
FSLY,2025-06-30,148709000.0,0.5454679945396714,0.0766866833883625,3065835008,,0.029313232830820768
FSLY,2025-09-30,158223000.0,0.5835371595785694,0.11484423882747767,3065835008,,0.0639772979443074
FSLY,2025-12-31,172612000.0,0.6138623038954418,0.049811137116770564,3065835008,,0.09094126644040368
FSLY,2026-03-31,173021000.0,0.6252478022898954,0.023748562313245212,3065835008,,0.002369476050332553
FTNT,2025-03-31,1539700000.0,0.8096382412158213,0.5175034097551471,115399442432,112797742432.0,
FTNT,2025-06-30,1630000000.0,0.8068098159509203,0.17429447852760735,115399442432,113026242432.0,0.058647788530233225
FTNT,2025-09-30,1724900000.0,0.8076989970433068,0.32900457997565075,115399442432,114399642432.0,0.05822085889570561
FTNT,2025-12-31,1905000000.0,0.7956955380577427,0.3030971128608924,115399442432,113900442432.0,0.10441184996231656
FTNT,2026-03-31,1849600000.0,0.8029303633217993,0.5441717128027682,115399442432,113672442432.0,-0.029081364829396272
GDRX,2025-03-31,202970000.0,0.934157757304035,-0.06140316302901907,999092352,1239300352.0,
GDRX,2025-06-30,203070000.0,0.9342591224700842,0.1539616880878515,999092352,1265312352.0,0.0004926836478298391
GDRX,2025-09-30,196028000.0,0.9315454935009284,0.29599853082212746,999092352,1270698352.0,-0.034677697345742886
GDRX,2025-12-31,194785000.0,0.9103421721385117,0.08757347845059937,999092352,1280078352.0,-0.006340930887424268
GDRX,2026-03-31,194006000.0,0.8961063059905364,-0.05054482851045844,999092352,1304733352.0,-0.003999281258823872
GH,2025-03-31,203471000.0,0.6327584766379484,-0.3300126307925945,21222619136,21830430136.0,
GH,2025-06-30,232088000.0,0.6501111647306195,-0.28409051738995555,21222619136,21927627136.0,0.14064412127526782
GH,2025-09-30,265196000.0,0.647102520400006,-0.17256293458423205,21222619136,21968982136.0,0.14265278687394445
GH,2025-12-31,281266000.0,0.6462707899283952,-0.19277481103297234,21222619136,22554558136.0,0.060596690749483484
GH,2026-03-31,301665000.0,0.6522002883993834,-0.2360333482505428,21222619136,21937884136.0,0.07252565187402671
GLBE,2025-03-31,189882000.0,0.44282238442822386,-0.382316385966021,6463385088,6279543088.0,
GLBE,2025-06-30,214877000.0,0.45454376224537757,0.2955923621420627,6463385088,6282802088.0,0.1316343834592011
GLBE,2025-09-30,220779000.0,0.4513382160440984,0.333283509754098,6463385088,6235975088.0,0.027466876399056206
GLBE,2025-12-31,336657000.0,0.45995776116343934,0.6421372494853813,6463385088,6241027088.0,0.5248597013302896
GLBE,2026-03-31,252086000.0,0.4557174932364352,-0.28924652697888814,6463385088,6312085088.0,-0.2512082030078091
GTLB,2025-04-30,214509000.0,0.8832916101422318,0.49130805700460123,5475737600,,
GTLB,2025-07-31,235960000.0,0.879195626377352,0.19691896931683336,5475737600,,0.10000046618090619
GTLB,2025-10-31,244353000.0,0.8681374896154334,0.11618437260848036,5475737600,,0.035569588065773816
GTLB,2026-01-31,260402000.0,0.8656615540587246,0.1604595970845078,5475737600,5246348600.0,0.06567957013009873
GTLB,2026-04-30,264158000.0,0.8580849340167627,0.5557431537186078,5475737600,,0.014423852351364452
HIMS,2025-03-31,586010000.0,0.734951621985973,0.08541151174894626,7957515776,7747163776.0,
HIMS,2025-06-30,544833000.0,0.7638964600161885,-0.12743721470615765,7957515776,7877321776.0,-0.07026671899796932
HIMS,2025-09-30,598976000.0,0.7380228924030345,0.13249946575488833,7957515776,8729760776.0,0.09937540494059638
HIMS,2025-12-31,617818000.0,0.7193623364809701,-0.004158182506822397,7957515776,8849489776.0,0.03145701998076711
HIMS,2026-03-31,608104000.0,0.6524985857682238,0.08720876692144765,7957515776,8867286776.0,-0.015723077022683052
HUBS,2025-03-31,714137000.0,0.8388166416247863,0.1649599446604783,10621047808,10651167808.0,
HUBS,2025-06-30,760866000.0,0.8394447905413043,0.1480484079982546,10621047808,10300383808.0,0.06543422340531291
HUBS,2025-09-30,809518000.0,0.8350648163475055,0.17601708671085758,10621047808,10278632808.0,0.06394292818972058
HUBS,2025-12-31,846746000.0,0.837376261594386,0.240586905636401,10621047808,10001110808.0,0.04598785944228534
HUBS,2026-03-31,880995000.0,0.8346256221658466,0.1686014109047157,10621047808,9924401808.0,0.040447784813863796
LYFT,2025-03-31,1450172000.0,0.40498506384070304,0.19358669178552612,5926843904,6124152904.0,
LYFT,2025-06-30,1588183000.0,0.4108147486782065,0.20743327437707115,5926843904,5782666904.0,0.09516871102186508
LYFT,2025-09-30,1685195000.0,0.449784149608799,0.1648574794014936,5926843904,5894435904.0,0.061083640865064126
LYFT,2025-12-31,1592711000.0,0.3898302956405776,0.14291544417034854,5926843904,6071567904.0,-0.05488029575212361
LYFT,2026-03-31,1650489000.0,0.47643153029193164,0.17404296544842165,5926843904,6148323904.0,0.036276512185826615
MDB,2025-04-30,549014000.0,0.7121366668245255,0.19729551523276273,27514152960,26893343960.0,
MDB,2025-07-31,591402000.0,0.7101328707038529,0.12101413251899723,27514152960,26902757960.0,0.07720750290520817
MDB,2025-10-31,628309000.0,0.7148266219328387,0.22573606298811572,27514152960,26714685960.0,0.06240594384192133
MDB,2026-01-31,695072000.0,0.7303703788959993,0.2567647668155241,27514152960,26463471960.0,0.10625822644590488
MDB,2026-04-30,687616000.0,0.7215873394452718,0.2898594564408042,27514152960,26508225960.0,-0.010726946273191817
MELI,2025-03-31,5935000000.0,0.46689132266217354,0.12788542544229148,93902340096,98650340096.0,
MELI,2025-06-30,6790000000.0,0.4556701030927835,0.3873343151693667,93902340096,99873340096.0,0.1440606571187868
MELI,2025-09-30,7409000000.0,0.43312187879605885,0.35119449318396545,93902340096,101197340096.0,0.09116347569955807
MELI,2025-12-31,8759000000.0,0.4320127868478137,0.545952734330403,93902340096,101624340096.0,0.18221082467269545
MELI,2026-03-31,8845000000.0,0.43663086489542113,0.20395703787450536,93902340096,102570340096.0,0.009818472428359426
MNDY,2025-03-31,282250000.0,0.8979450841452613,0.38088219663418954,3538535680,2133470680.0,
MNDY,2025-06-30,299014000.0,0.8957473563110757,0.20075648631836637,3538535680,2074232680.0,0.05939415411868909
MNDY,2025-09-30,316855000.0,0.8870524372346973,0.2847327641981348,3538535680,2130563680.0,0.05966610259051408
MNDY,2025-12-31,333878000.0,0.8881837078214198,0.15619477773318396,3538535680,2204153680.0,0.05372488993388136
MNDY,2026-03-31,351265000.0,0.8914665565883307,0.28968442628784535,3538535680,2718973680.0,0.05207590796638284
NCNO,2025-04-30,144137000.0,0.5997210986769532,0.36494446255992563,1861304576,2006422576.0,
NCNO,2025-07-31,148815000.0,0.5921782078419514,0.08458824715250479,1861304576,2007854576.0,0.03245523356251345
NCNO,2025-10-31,152163000.0,0.6156950112708083,0.03218259366600291,1861304576,2043085576.0,0.0224977320834594
NCNO,2026-01-31,149666000.0,0.6141408202263707,0.08336562746381944,1861304576,2051625576.0,-0.01641003397672236
NCNO,2026-04-30,159414000.0,0.633181527343897,0.5067999046507835,1861304576,2085203576.0,0.06513169323694101
NOW,2025-03-31,3088000000.0,0.7891839378238342,0.46567357512953367,111082184704,110112184704.0,
NOW,2025-06-30,3215000000.0,0.774805598755832,0.1636080870917574,111082184704,110367184704.0,0.04112694300518127
NOW,2025-09-30,3407000000.0,0.772820663340182,0.1670090989140006,111082184704,110759184704.0,0.059720062208398206
NOW,2025-12-31,3568000000.0,0.7662556053811659,0.5605381165919282,111082184704,109759184704.0,0.047255650132081106
NOW,2026-03-31,3770000000.0,0.7506631299734748,0.40557029177718834,111082184704,110811184704.0,0.05661434977578472
OKTA,2025-04-30,688000000.0,0.7747093023255814,0.34593023255813954,24094914560,24547914560.0,
OKTA,2025-07-31,728000000.0,0.7692307692307693,0.22252747252747251,24094914560,24158914560.0,0.058139534883721034
OKTA,2025-10-31,742000000.0,0.77088948787062,0.284366576819407,24094914560,23872914560.0,0.019230769230769162
OKTA,2026-01-31,761000000.0,0.7792378449408672,0.3311432325886991,24094914560,23658914560.0,0.025606469002695365
OKTA,2026-04-30,765000000.0,0.7777777777777778,0.3542483660130719,24094914560,23743914560.0,0.005256241787122251
OSCR,2025-03-31,3046263000.0,,0.28543694356002747,9207596032,7270790032.0,
OSCR,2025-06-30,2863945000.0,,0.17451103285852207,9207596032,6908598032.0,-0.05984972407175615
OSCR,2025-09-30,2985984000.0,,-0.3260784384645062,9207596032,7745025032.0,0.042612201002463435
OSCR,2025-12-31,2805235000.0,,0.23628715597801966,9207596032,6863540032.0,-0.06053247438700271
OSCR,2026-03-31,4647194000.0,,0.5616692567601008,9207596032,4833333032.0,0.6566148647083043
PANW,2025-04-30,2289000000.0,0.7295762341633901,0.24464831804281345,265616654336,263962154336.0,
PANW,2025-07-31,2536300000.0,0.7322871900011828,0.36845010448290816,265616654336,263686254336.0,0.10803844473569235
PANW,2025-10-31,2474000000.0,0.7421180274858529,0.6818916734033953,265616654336,262896654336.0,-0.024563340298860536
PANW,2026-01-31,2594000000.0,0.735929067077872,0.14803392444101773,265616654336,261830654336.0,0.04850444624090544
PANW,2026-04-30,3002000000.0,0.6755496335776149,0.262491672218521,265616654336,265323654336.0,0.15728604471858132
PATH,2025-04-30,356624000.0,0.820940262012652,0.2977085109246714,6051644928,5429955928.0,
PATH,2025-07-31,361728000.0,0.822020966029724,0.1149675999646143,6051644928,5502337928.0,0.014311992462649803
PATH,2025-10-31,411113000.0,0.8326202285016528,0.061070800485511285,6051644928,5389993928.0,0.13652523443029008
PATH,2026-01-31,481107000.0,0.846323167195655,0.3726738542569532,6051644928,5261733928.0,0.17025489342346267
PATH,2026-04-30,418382000.0,0.8161297570163152,0.30891386340712557,6051644928,5502452928.0,-0.1303764027544808
